,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,fixed_sulfur_dioxide
137,6.7,0.24,0.35,13.0,0.05,57.0,195.0,0.997,3.15,0.5,9.5,5,138.0
138,7.0,0.23,0.36,13.0,0.051,57.0,177.0,0.9972,3.16,0.49,9.8,5,120.0
139,8.0,0.27,0.46,8.7,0.048,39.0,195.0,0.9974,3.14,0.59,9.6,6,156.0
140,6.7,0.4,0.22,2.4,0.034,25.0,98.0,0.99022,3.08,0.44,12.6,7,73.0
141,7.5,0.29,0.31,8.95,0.055,20.0,151.0,0.9968,3.08,0.54,9.3,5,131.0
142,8.0,0.4,0.48,9.85,0.034,15.0,110.0,0.9958,3.01,0.36,10.0,5,95.0
143,7.1,0.3,0.46,1.5,0.058,29.0,133.0,0.9906,3.12,0.54,12.7,6,104.0
144,7.9,0.19,0.45,1.5,0.045,17.0,96.0,0.9917,3.13,0.39,11.0,6,79.0
145,7.6,0.4,0.37,1.2,0.037,15.0,100.0,0.99022,3.03,0.39,11.4,4,85.0
146,6.3,0.22,0.43,4.55,0.038,31.0,130.0,0.9918,3.35,0.36,11.5,7,99.0
147,7.5,0.27,0.31,13.0,0.051,33.0,173.0,0.9978,3.09,0.64,10.2,5,140.0
148,6.9,0.23,0.4,7.5,0.04,50.0,151.0,0.9927,3.11,0.36,11.4,6,101.0
149,7.2,0.32,0.47,5.1,0.044,19.0,86.0,0.991,3.03,0.41,12.6,4,67.0
150,5.9,0.23,0.3,12.9,0.054,57.0,170.0,0.9972,3.28,0.39,9.4,5,113.0
151,6.0,0.4,0.22,1.2,0.058,15.0,108.0,0.9931,3.11,0.36,8.7,4,93.0
152,6.4,0.25,0.32,5.5,0.049,41.0,176.0,0.995,3.19,0.64,9.2,6,135.0
153,6.4,0.33,0.31,5.5,0.048,42.0,173.0,0.9951,3.19,0.64,9.3,6,131.0
154,7.1,0.34,0.22,1.2,0.053,57.0,183.0,0.9936,3.09,0.43,9.2,5,126.0
155,6.8,0.28,0.4,13.0,0.048,48.0,167.0,0.9978,3.01,0.5,8.7,5,119.0
156,6.9,0.27,0.4,13.0,0.05,57.0,195.0,0.9978,3.18,0.58,9.6,6,138.0
157,6.8,0.26,0.49,11.9,0.043,57.0,195.0,0.997,3.02,0.63,9.3,5,138.0
158,6.8,0.29,0.49,11.9,0.043,57.0,195.0,0.9972,3.02,0.63,9.3,5,138.0
159,6.7,0.24,0.41,9.4,0.04,49.0,166.0,0.9954,3.12,0.61,9.9,6,117.0
160,5.9,0.3,0.23,4.2,0.038,42.0,119.0,0.9924,3.15,0.5,11.0,5,77.0
161,6.8,0.4,0.35,3.8,0.034,26.0,109.0,0.9906,3.26,0.57,12.7,8,83.0
162,6.5,0.28,0.28,8.5,0.047,54.0,195.0,0.9962,3.09,0.54,8.9,4,141.0
163,6.6,0.28,0.28,8.5,0.052,55.0,195.0,0.9962,3.09,0.55,8.9,6,140.0
164,6.8,0.28,0.36,8.0,0.045,28.0,123.0,0.9928,3.02,0.37,11.4,6,95.0
165,6.6,0.17,0.34,5.1,0.055,34.0,125.0,0.9942,3.36,0.42,9.6,5,91.0
166,6.4,0.29,0.44,3.6,0.058,57.0,181.0,0.9942,3.02,0.41,9.1,5,124.0
167,6.4,0.3,0.45,3.5,0.058,57.0,180.0,0.9942,3.02,0.39,9.1,6,123.0
168,6.4,0.29,0.44,3.6,0.058,57.0,183.0,0.9942,3.01,0.38,9.1,5,126.0
169,6.8,0.26,0.24,7.8,0.052,54.0,195.0,0.9961,3.13,0.47,8.9,5,141.0
170,7.1,0.32,0.24,13.0,0.05,52.0,195.0,0.9978,3.1,0.49,8.8,5,143.0
171,6.8,0.27,0.26,13.0,0.049,55.0,195.0,0.9978,3.15,0.5,9.3,5,140.0
172,6.9,0.4,0.32,13.0,0.05,53.0,195.0,0.9973,3.2,0.5,9.6,5,142.0
173,6.8,0.26,0.34,13.0,0.034,39.0,134.0,0.9949,3.33,0.53,12.0,6,95.0
174,5.8,0.28,0.35,2.3,0.053,36.0,114.0,0.9924,3.28,0.5,10.2,4,78.0
175,6.4,0.21,0.49,11.6,0.042,45.0,153.0,0.9972,3.15,0.43,8.8,5,108.0
176,7.0,0.17,0.32,8.3,0.045,38.0,126.0,0.9958,3.21,0.36,9.2,5,88.0
177,8.0,0.4,0.49,6.2,0.049,20.0,124.0,0.9968,3.01,0.51,9.9,4,104.0
178,6.8,0.4,0.29,2.2,0.04,15.0,86.0,0.9938,3.32,0.64,10.2,5,71.0
179,6.1,0.4,0.31,1.2,0.048,23.0,170.0,0.993,3.22,0.64,9.5,6,147.0
180,5.8,0.245,0.25,9.7,0.032,15.0,86.0,0.994,3.31,0.36,10.5,5,71.0
181,6.8,0.18,0.38,1.4,0.038,35.0,111.0,0.9918,3.32,0.59,11.2,7,76.0
182,6.7,0.17,0.29,5.3,0.051,31.0,122.0,0.9944,3.39,0.37,9.7,6,91.0
183,6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,7,70.0
184,5.8,0.26,0.24,9.2,0.044,55.0,152.0,0.9961,3.31,0.38,9.4,5,97.0
185,7.5,0.27,0.36,7.0,0.036,45.0,164.0,0.9939,3.03,0.36,11.0,5,119.0
186,5.8,0.28,0.24,13.0,0.044,57.0,167.0,0.9978,3.31,0.44,9.4,5,110.0
187,7.5,0.23,0.36,7.0,0.036,43.0,161.0,0.9938,3.04,0.36,11.0,5,118.0
188,7.2,0.4,0.22,9.5,0.058,33.0,172.0,0.9971,3.01,0.55,9.1,6,139.0
189,6.5,0.19,0.3,1.2,0.043,33.0,144.0,0.9936,3.39,0.39,9.1,6,111.0
190,6.3,0.4,0.22,1.8,0.046,31.0,140.0,0.9929,3.39,0.54,10.4,6,109.0
191,7.1,0.24,0.41,13.0,0.046,39.0,145.0,0.9978,3.32,0.39,8.7,5,106.0
192,6.4,0.17,0.32,2.4,0.048,41.0,195.0,0.9938,3.39,0.5,9.7,6,154.0
193,7.1,0.25,0.32,10.3,0.041,57.0,195.0,0.9969,3.17,0.52,9.1,6,138.0
194,6.8,0.4,0.22,9.7,0.058,26.0,142.0,0.9972,3.37,0.46,8.9,4,116.0
195,8.0,0.28,0.4,7.8,0.041,38.0,194.0,0.9976,3.34,0.51,9.6,6,156.0
196,8.0,0.27,0.39,7.8,0.039,49.0,195.0,0.9976,3.31,0.51,9.5,6,146.0
197,7.2,0.23,0.38,13.0,0.058,55.0,194.0,0.9978,3.09,0.44,9.0,6,139.0
198,6.8,0.4,0.32,13.0,0.044,54.0,195.0,0.9972,3.27,0.5,9.6,6,141.0
199,7.0,0.26,0.49,1.4,0.037,40.0,120.0,0.9918,3.34,0.41,11.1,7,80.0
200,6.2,0.25,0.22,13.0,0.039,28.0,159.0,0.9978,3.39,0.64,9.6,6,131.0
201,7.3,0.32,0.23,13.0,0.05,49.0,195.0,0.9978,3.2,0.46,8.7,5,146.0
202,7.7,0.31,0.26,7.8,0.031,23.0,90.0,0.9944,3.13,0.5,10.4,5,67.0
203,7.1,0.21,0.37,2.4,0.03,23.0,100.0,0.9903,3.15,0.38,11.4,7,77.0
204,6.8,0.24,0.34,2.7,0.047,57.0,195.0,0.9934,3.3,0.58,9.7,6,138.0
205,6.9,0.4,0.49,11.2,0.043,40.0,142.0,0.9975,3.14,0.46,8.7,5,102.0
206,6.1,0.18,0.36,2.0,0.038,20.0,195.0,0.9923,3.37,0.64,11.3,6,175.0
207,6.8,0.21,0.27,2.1,0.03,26.0,139.0,0.99022,3.16,0.61,12.6,7,113.0
208,5.8,0.2,0.27,1.4,0.031,15.0,86.0,0.9905,3.25,0.36,10.9,7,71.0
209,5.8,0.19,0.26,1.4,0.03,15.0,86.0,0.9905,3.25,0.37,10.9,7,71.0
210,6.1,0.4,0.22,10.4,0.037,18.0,119.0,0.996,3.38,0.45,10.0,5,101.0
211,5.9,0.21,0.28,4.6,0.053,40.0,195.0,0.9964,3.39,0.64,10.0,4,155.0
212,8.0,0.26,0.22,13.0,0.058,41.0,195.0,0.9978,3.02,0.5,9.8,3,154.0
213,5.8,0.24,0.44,3.5,0.03,15.0,109.0,0.9913,3.39,0.43,11.7,3,94.0
214,5.8,0.24,0.39,1.5,0.054,37.0,158.0,0.9932,3.21,0.52,9.3,6,121.0
215,6.7,0.26,0.39,1.2,0.04,45.0,147.0,0.9935,3.32,0.58,9.6,8,102.0
216,6.3,0.35,0.3,5.7,0.035,15.0,97.0,0.9927,3.27,0.41,11.0,7,82.0
217,6.4,0.23,0.39,1.8,0.032,23.0,118.0,0.9912,3.32,0.5,11.8,6,95.0
218,5.8,0.36,0.38,1.2,0.037,15.0,86.0,0.9904,3.28,0.36,11.4,4,71.0
219,6.9,0.17,0.35,5.4,0.048,36.0,108.0,0.9939,3.32,0.42,10.2,6,72.0
220,6.9,0.29,0.4,13.0,0.043,36.0,156.0,0.9978,3.01,0.47,8.9,5,120.0
221,6.9,0.28,0.4,8.2,0.036,15.0,95.0,0.9944,3.17,0.36,10.2,5,80.0
222,7.2,0.29,0.4,13.0,0.045,57.0,195.0,0.9977,3.08,0.59,9.6,6,138.0
223,6.2,0.24,0.35,1.2,0.038,22.0,167.0,0.9912,3.1,0.48,10.6,6,145.0
224,6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.9965,3.25,0.51,9.2,6,148.0
225,5.8,0.4,0.22,6.9,0.043,34.0,149.0,0.9944,3.34,0.57,9.7,5,115.0
226,5.8,0.4,0.22,7.1,0.044,34.0,145.0,0.9945,3.34,0.57,9.7,6,111.0
227,5.8,0.4,0.22,7.0,0.045,36.0,147.0,0.9944,3.34,0.57,9.7,6,111.0
228,5.8,0.4,0.22,7.0,0.044,33.0,147.0,0.9944,3.33,0.58,9.7,5,114.0
229,5.8,0.25,0.26,13.0,0.051,44.0,148.0,0.9972,3.29,0.38,9.3,5,104.0
230,6.6,0.4,0.3,5.1,0.057,30.0,123.0,0.9949,3.24,0.38,9.0,5,93.0
231,7.0,0.29,0.49,10.7,0.046,57.0,195.0,0.9966,3.05,0.61,9.5,5,138.0
232,6.6,0.19,0.41,8.9,0.046,51.0,169.0,0.9954,3.14,0.57,9.8,6,118.0
233,6.7,0.2,0.41,9.1,0.044,50.0,166.0,0.9954,3.14,0.58,9.8,6,116.0
234,7.7,0.26,0.4,1.2,0.042,15.0,86.0,0.9915,3.01,0.5,10.6,5,71.0
235,6.8,0.32,0.34,1.2,0.044,15.0,86.0,0.9919,3.05,0.47,10.6,4,71.0
236,7.0,0.3,0.49,4.7,0.036,17.0,105.0,0.9916,3.26,0.64,12.4,7,88.0
237,7.0,0.24,0.36,2.8,0.034,22.0,112.0,0.99022,3.19,0.38,12.6,8,90.0
238,6.1,0.31,0.49,5.0,0.039,36.0,114.0,0.9909,3.3,0.6,12.3,8,78.0
239,6.8,0.4,0.37,5.1,0.047,46.0,195.0,0.9938,3.08,0.64,10.5,4,149.0
240,6.7,0.34,0.3,13.0,0.054,51.0,195.0,0.9978,3.19,0.49,9.3,5,144.0
241,7.1,0.35,0.24,13.0,0.055,46.0,195.0,0.9978,3.12,0.49,8.8,5,149.0
242,7.3,0.32,0.25,7.2,0.056,47.0,180.0,0.9961,3.08,0.47,8.8,5,133.0
243,6.5,0.28,0.33,13.0,0.053,51.0,190.0,0.9978,3.22,0.51,9.7,6,139.0
244,7.2,0.23,0.39,13.0,0.058,49.0,192.0,0.9978,3.01,0.48,9.0,7,143.0
245,5.9,0.17,0.31,5.8,0.041,53.0,155.0,0.9945,3.39,0.46,10.5,6,102.0
246,7.4,0.28,0.42,13.0,0.058,53.0,195.0,0.9978,3.01,0.44,9.1,5,142.0
247,6.2,0.28,0.22,7.3,0.041,26.0,157.0,0.9957,3.39,0.64,9.8,7,131.0
248,8.0,0.4,0.38,1.6,0.058,34.0,182.0,0.9968,3.23,0.38,8.5,3,148.0
249,6.3,0.33,0.27,1.2,0.046,34.0,175.0,0.9934,3.37,0.54,9.4,6,141.0
250,8.0,0.39,0.49,10.6,0.045,33.0,169.0,0.9976,3.09,0.57,9.4,5,136.0
251,7.2,0.19,0.46,3.8,0.041,57.0,187.0,0.9932,3.19,0.6,11.2,7,130.0
252,7.5,0.17,0.44,11.3,0.046,57.0,146.0,0.997,3.17,0.45,10.0,6,89.0
253,6.7,0.17,0.49,2.1,0.043,27.0,122.0,0.9923,3.15,0.45,10.3,6,95.0
254,6.1,0.4,0.22,1.6,0.058,36.0,87.0,0.9914,3.27,0.64,10.8,6,51.0
255,8.0,0.2,0.35,1.2,0.05,15.0,86.0,0.992,3.13,0.38,10.5,6,71.0
256,6.0,0.29,0.22,1.3,0.055,42.0,168.0,0.9914,3.32,0.43,11.1,6,126.0
257,7.3,0.4,0.24,6.8,0.057,41.0,163.0,0.9949,3.2,0.41,9.9,6,122.0
258,7.2,0.4,0.24,6.7,0.058,40.0,163.0,0.995,3.2,0.41,9.9,5,123.0
259,7.3,0.4,0.24,6.7,0.058,41.0,166.0,0.995,3.2,0.41,9.9,6,125.0
260,6.2,0.33,0.27,4.9,0.036,30.0,134.0,0.9927,3.2,0.42,10.4,7,104.0
